Vivado Simulator 2018.3
Time resolution is 1 ps
At time                  370, a = 0110101101001000, b = 0110011101100000, cin = 0, s = 1101001010101000, cout = 0
At time                  372, a = 0110101101001000, b = 0110101101001000, cin = 0, s = 1101011010010000, cout = 0
At time                  374, a = 0110111100110000, b = 0110101101001000, cin = 0, s = 1101101001111000, cout = 0
At time                  376, a = 0110111100110000, b = 0110111100110000, cin = 0, s = 1101111001100000, cout = 0
At time                  378, a = 0111001100011000, b = 0110111100110000, cin = 0, s = 1110001001001000, cout = 0
At time                  380, a = 0111001100011000, b = 0111001100011000, cin = 0, s = 1110011000110000, cout = 0
At time                  382, a = 0111011100000000, b = 0111001100011000, cin = 0, s = 1110101000011000, cout = 0
At time                  384, a = 0111011100000000, b = 0111011100000000, cin = 0, s = 1110111000000000, cout = 0
At time                  386, a = 0111101011101000, b = 0111011100000000, cin = 0, s = 1111000111101000, cout = 0
At time                  388, a = 0111101011101000, b = 0111101011101000, cin = 0, s = 1111010111010000, cout = 0
At time                  390, a = 0111111011010000, b = 0111101011101000, cin = 0, s = 1111100110111000, cout = 0
At time                  392, a = 0111111011010000, b = 0111111011010000, cin = 0, s = 1111110110100000, cout = 0
At time                  394, a = 1000001010111000, b = 0111111011010000, cin = 0, s = 0000000110001000, cout = 1
At time                  396, a = 1000001010111000, b = 1000001010111000, cin = 0, s = 0000010101110000, cout = 1
At time                  398, a = 1000011010100000, b = 1000001010111000, cin = 0, s = 0000100101011000, cout = 1
At time                  400, a = 1000011010100000, b = 1000011010100000, cin = 0, s = 0000110101000000, cout = 1
At time                  402, a = 1000101010001000, b = 1000011010100000, cin = 0, s = 0001000100101000, cout = 1
At time                  404, a = 1000101010001000, b = 1000101010001000, cin = 0, s = 0001010100010000, cout = 1
At time                  406, a = 1000111001110000, b = 1000101010001000, cin = 0, s = 0001100011111000, cout = 1
At time                  408, a = 1000111001110000, b = 1000111001110000, cin = 0, s = 0001110011100000, cout = 1
At time                  410, a = 1001001001011000, b = 1000111001110000, cin = 0, s = 0010000011001000, cout = 1
At time                  412, a = 1001001001011000, b = 1001001001011000, cin = 0, s = 0010010010110000, cout = 1
At time                  414, a = 1001011001000000, b = 1001001001011000, cin = 0, s = 0010100010011000, cout = 1
At time                  416, a = 1001011001000000, b = 1001011001000000, cin = 0, s = 0010110010000000, cout = 1
